City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Henties Bay,-22.116,14.2845,71.01,77,4,8.37,NA,1611844859
Bethel,41.3712,-73.414,25.0,68,100,4.0,US,1611844859
Saint-François,46.4154,3.9054,55.4,88,90,14.97,FR,1611844859
Ushuaia,-54.8,-68.3,44.6,76,75,4.61,AR,1611844829
Mar del Plata,-38.0023,-57.5575,71.6,73,0,9.22,AR,1611844805
Kruisfontein,-34.0033,24.7314,77.0,46,0,8.01,ZA,1611844860
Brønnøysund,65.4625,12.1997,30.2,64,20,12.66,NO,1611844860
Yumen,40.2833,97.2,24.6,69,0,9.91,CN,1611844860
Albany,42.6001,-73.9662,23.0,56,23,8.01,US,1611844777
Dikson,73.5069,80.5464,-30.69,80,65,8.19,RU,1611844860
Ossora,59.2353,163.0719,-3.15,83,95,5.12,RU,1611844860
Vaini,-21.2,-175.2,75.2,100,90,16.11,TO,1611844861
Castro,-24.7911,-50.0119,71.1,80,100,4.56,BR,1611844861
Vanimo,-2.6741,141.3028,78.57,84,100,3.44,PG,1611844861
San Cristobal,7.7669,-72.225,78.8,73,40,4.61,VE,1611844815
Ulladulla,-35.35,150.4667,63.0,100,40,6.91,AU,1611844861
‘Ewa Beach,21.3156,-158.0072,73.4,60,1,6.91,US,1611844861
Bluff,-46.6,168.3333,48.0,77,86,8.99,NZ,1611844862
Departamento de Maldonado,-34.6667,-54.9167,75.99,73,0,13.8,UY,1611844862
Mataura,-46.1927,168.8643,48.0,77,93,8.99,NZ,1611844862
Jamestown,42.097,-79.2353,18.0,86,90,11.81,US,1611844862
Geraldton,-28.7667,114.6,73.4,78,0,25.32,AU,1611844862
Punta Arenas,-53.15,-70.9167,48.2,71,75,24.16,CL,1611844862
Mitú,1.1983,-70.1733,80.46,70,98,3.87,CO,1611844862
Turan,16.0678,108.2208,68.0,88,20,5.41,VN,1611844863
Bredasdorp,-34.5322,20.0403,73.4,46,0,11.5,ZA,1611844863
Port Alfred,-33.5906,26.891,72.0,79,8,1.99,ZA,1611844863
Busselton,-33.65,115.3333,64.99,82,0,1.99,AU,1611844863
Qaanaaq,77.484,-69.3632,-10.32,68,0,8.86,GL,1611844863
Sitka,57.0531,-135.33,24.8,74,1,3.98,US,1611844638
Rikitea,-23.1203,-134.9692,78.91,68,18,2.91,PF,1611844863
Yuma,32.7253,-114.6244,52.0,66,1,4.61,US,1611844647
Luanda,-8.8368,13.2343,86.0,70,40,10.36,AO,1611844763
Saint-Philippe,-21.3585,55.7679,86.0,66,90,9.22,RE,1611844864
Atuona,-9.8,-139.0333,77.72,80,1,17.05,PF,1611844864
Te Anau,-45.4167,167.7167,39.51,87,73,1.43,NZ,1611844864
Marrakesh,31.6315,-8.0083,82.4,23,0,8.05,MA,1611844703
Mbaïki,3.8678,17.9892,98.58,19,33,5.06,CF,1611844864
Makakilo City,21.3469,-158.0858,73.4,60,1,6.91,US,1611844864
East London,-33.0153,27.9116,75.2,53,0,12.66,ZA,1611844865
Cherskiy,68.75,161.3,-26.37,85,100,3.15,RU,1611844865
Lyman,48.9884,37.8023,41.65,84,100,13.13,UA,1611844865
Saskylakh,71.9167,114.0833,-43.1,79,39,3.8,RU,1611844865
Yellowknife,62.456,-114.3525,-25.6,75,40,3.44,CA,1611844613
Chui,-33.6971,-53.4616,80.04,45,57,6.46,UY,1611844865
New Norfolk,-42.7826,147.0587,57.2,67,90,4.61,AU,1611844866
Broken Hill,-31.95,141.4333,75.2,78,81,11.5,AU,1611844866
Ribas do Rio Pardo,-20.4431,-53.7592,83.64,65,22,6.46,BR,1611844807
Ancud,-41.8697,-73.8203,64.99,67,40,2.3,CL,1611844866
